Name,Cost_INR_capped,CuisineOH_North_Indian,CuisineOH_Chinese,CuisineOH_Continental,CuisineOH_Biryani,CuisineOH_Asian,CuisineOH_Fast_Food,CuisineOH_Italian,CuisineOH_Desserts,CuisineOH_South_Indian,CuisineOH_Bakery,Avg_Rating,Review_Count,Avg_Pictures,Avg_Followers,Avg_Critic_Score,Avg_Sentiment,Pct_Positive,log_Review_Count,KMeans_Cluster,KMeans_Best_Cluster,Agg_Cluster,Agg_Best_Cluster
The Tilt Bar Republic,1500,1,0,1,0,0,0,1,0,0,0,3.845,100,0.47912634511088703,0.0,0.0,0.638679,0.86,4.61512051684126,2,2,1,0
The Indi Grill,1500,0,0,0,0,1,0,0,0,0,0,4.6,100,0.20157113532457285,0.0,0.0,0.8675889999999999,0.99,4.61512051684126,2,2,1,0
Urban Asia - Kitchen & Bar,1100,0,1,0,0,1,0,0,0,0,0,3.65,100,0.5442278708327974,0.0,0.0,0.620387,0.83,4.61512051684126,2,2,1,0
Eat India Company,1300,1,0,0,0,0,0,0,0,0,0,3.26,100,0.2962413572066349,0.0,0.0,0.406937,0.72,4.61512051684126,0,0,1,0
Labonel,1000,0,0,0,0,0,0,0,1,0,1,3.915,100,0.2528677553297518,0.0,0.0,0.6678000000000001,0.89,4.61512051684126,1,1,2,2
Driven Cafe,600,0,0,0,0,0,1,0,0,0,0,3.745,100,0.7825382959309711,0.0,0.0,0.767162,0.93,4.61512051684126,1,1,1,0
Faasos,600,0,0,0,1,0,1,0,1,0,0,3.03,100,0.221440979633152,0.0,0.0,0.330861,0.64,4.61512051684126,1,1,2,0
Royal Spicy Restaurant,700,1,0,0,0,0,0,0,0,1,0,3.74,100,0.024849066497880004,0.0,0.0,0.27993100000000004,0.6,4.61512051684126,0,0,0,0
The Old Madras Baking Company,350,0,0,0,0,0,0,0,0,0,1,3.615,100,0.5257455929817381,0.0,0.0,0.6218910000000001,0.83,4.61512051684126,1,1,2,2
Squeeze @ The Lime,650,1,1,0,0,0,0,1,0,0,0,3.815,100,0.06684611727667927,0.0,0.0,0.5736760000000001,0.81,4.61512051684126,2,2,1,0
Khaan Saab,1100,1,0,0,0,0,0,0,0,0,0,3.8,100,0.30471433581050694,0.0,0.0,0.546629,0.77,4.61512051684126,2,2,1,0
Olive Garden,700,1,1,1,1,0,0,0,0,0,0,3.7676767676767677,99,0.12881855874658624,0.0,0.0,0.5517252525252525,0.8686868686868687,4.605170185988092,2,2,1,0
Tandoori Food Works,500,1,0,0,0,0,0,0,0,0,0,3.27,100,0.12242211692146046,0.0,0.0,0.320563,0.68,4.61512051684126,0,0,0,0
Delhi-39,600,1,1,0,0,0,0,0,0,0,0,2.975,100,0.016094379124341,0.0,0.0,0.055038000000000004,0.4,4.61512051684126,0,0,0,0
Al Saba Restaurant,750,1,1,0,1,0,0,0,0,0,0,3.1363636363636362,99,0.07820608102844225,0.0,0.0,0.2590969696969697,0.5757575757575758,4.605170185988092,0,0,0,0
GD's,500,0,0,0,0,0,0,0,0,0,0,3.96,100,0.18192854244733772,0.0,0.0,0.486646,0.72,4.61512051684126,0,0,0,0
T Grill,700,1,1,0,1,0,0,0,0,0,0,3.17,100,0.22510342358270083,0.0,0.0,0.459951,0.76,4.61512051684126,0,0,0,0
Momos Delight,200,0,0,0,0,0,0,0,0,0,0,3.725,100,0.1369304457440351,0.0,0.0,0.362614,0.7,4.61512051684126,0,0,0,0
The Chocolate Room,600,0,0,0,0,0,0,0,1,0,0,2.83,100,0.3205692636931248,0.0,0.0,0.209442,0.56,4.61512051684126,1,1,2,0
American Wild Wings,600,0,0,0,0,0,1,0,0,0,0,3.9740259740259742,77,0.6353659331227907,0.0,0.0,0.6569350649350649,0.8571428571428571,4.356708826689592,3,3,3,1
Domino's Pizza,400,0,0,0,0,0,1,0,0,0,0,3.0707070707070705,99,0.02510006716957576,0.0,0.0,0.06672020202020201,0.40404040404040403,4.605170185988092,0,0,0,0
